Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Gross Exp.,2,174236543.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Gross Imp.,1,155198813.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2003,Import,5,155198813.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Export,6,210606530.1
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Gross Exp.,2,210606530.1
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Gross Imp.,1,188667811.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2004,Import,5,188667811.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Export,6,229188738.3
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Gross Exp.,2,229188738.3
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Gross Imp.,1,206584979.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2005,Import,5,206584979.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Export,6,251705727.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Gross Exp.,2,251705727.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Gross Imp.,1,229150224
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2006,Import,5,229150224
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Export,6,296454021.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Gross Exp.,2,296454021.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Gross Imp.,1,265354717.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2007,Import,5,265354717.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Export,6,328766293.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Gross Exp.,2,328766293.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Gross Imp.,1,298873161.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2008,Import,5,298873161.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Export,6,254266425.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Gross Exp.,2,254266425.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Gross Imp.,1,230648926
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2009,Import,5,230648926
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Export,6,178921758.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Gross Exp.,2,178921758.2
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Gross Imp.,1,190550111.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2010,Import,5,190550111.7
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Export,6,207715442.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Gross Exp.,2,207715442.9
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Gross Imp.,1,227868309.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2011,Import,5,227868309.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Export,6,191800473.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Gross Exp.,2,191800473.4
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Gross Imp.,1,216631249.6
S2,BEL,Total,Belgium,EU-UK,EU28 - EU members (excl. UK) --- EU,2012,Import,5,216631249.6
